Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,Latitude,Longitude,Elevation (m),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,City Generator Link
75,Sollenay,Morcia,Morcia County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,1694,20.04,60.71,16,,,,walls,,,,https://watabou.github.io/city-generator?name=Sollenay&population=1694&size=16&seed=6656582340075&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
76,Cajada,Mortetano,Mortetano Barony,Anzia,Grand Duchy of Anzia,Astellian,Astellian Spirits,13800,-6.65,-30.03,36,,port,citadel,walls,,,,https://watabou.github.io/city-generator?name=Cajada&population=13800&size=35&seed=6656582340076&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.92
77,Monxarua,Riria,Riria Territory,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,8939,-11.8,93.83,441,,,citadel,,,,,https://watabou.github.io/city-generator?name=Monxarua&population=8939&size=30&seed=6656582340077&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
78,Chenay,Auvilly,Auvilly Land,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,2471,29.57,55.9,9,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Chenay&population=2471&size=18&seed=6656582340078&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.97
79,Rench,Hartengen,Hartengen County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1590,-13.04,108.31,121,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Rench&population=1590&size=15&seed=6656582340079&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
80,Reivofo,Laupsia,Laupsia County,Flostia,Principality of Flostia,Norse,Norse Ancestors,30993,33.19,-115.39,25,,,,walls,plaza,,shanty town,https://watabou.github.io/city-generator?name=Reivofo&population=30993&size=48&seed=6656582340080&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1
81,Ruannes,Ruannes,Ruannes Land,Chaus,Grand Duchy of Chaus,Luari,Luari Shamanism,2461,-18.25,27.17,9,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Ruannes&population=2461&size=18&seed=6656582340081&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.1
82,Virsaabyla,Virsaabyla,Virsaabyla County,Torvia,Torvian Empire,Soumi,Soumi Deities,19001,46.68,-33.82,100,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Virsaabyla&population=19001&size=39&seed=6656582340082&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
83,Bella,Ilmendria,Ilmendria Territory,Torta,Kingdom of Torta,Astellian,Astellian Spirits,21072,-11.72,-66.96,64,,,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Bella&population=21072&size=41&seed=6656582340083&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
84,Geisach,Geisach,Geisach Land,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,8479,37.36,95.16,9,,,citadel,,,,,https://watabou.github.io/city-generator?name=Geisach&population=8479&size=29&seed=6656582340084&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
85,Bauernbach,Blum,Blum Area,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,2134,23.61,98.24,25,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Bauernbach&population=2134&size=17&seed=6656582340085&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
86,Monto,Cofanelia,Cofanelia Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,9763,5.79,-39.04,81,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Monto&population=9763&size=31&seed=6656582340086&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
87,Hosinbach,Waldbrinia,Waldbrinia Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1613,3,118.83,196,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Hosinbach&population=1613&size=16&seed=6656582340087&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
88,Bidetonver,Midgewenia,Midgewenia Territory,Chichet,Chichetian Theocracy,Angshire,Ostowleighian Faith,1760,-7.33,-120.26,49,,,,,,temple,,https://watabou.github.io/city-generator?name=Bidetonver&population=1760&size=16&seed=6656582340088&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
89,Sonacidran,Elastan,Elastan County,Anzia,Grand Duchy of Anzia,Astellian,Astellian Spirits,12674,-12.9,-28.39,36,,,,walls,,,,https://watabou.github.io/city-generator?name=Sonacidran&population=12674&size=34&seed=6656582340089&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
90,Bopororana,Bopororana,Bopororana Region,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,8137,-24.08,67.43,9,,,,,plaza,,,https://watabou.github.io/city-generator?name=Bopororana&population=8137&size=29&seed=6656582340090&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
91,Gracegoes,Cantanalhei,Cantanalhei Province,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,1648,-24.16,77.92,169,,,,,,,,https://watabou.github.io/city-generator?name=Gracegoes&population=1648&size=16&seed=6656582340091&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
92,Forsa,Musmaa,Musmaa County,Torvia,Torvian Empire,Soumi,Soumi Deities,23675,45.08,-65.42,25,,,,walls,,temple,shanty town,https://watabou.github.io/city-generator?name=Forsa&population=23675&size=43&seed=6656582340092&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=1&gates=-1
93,Mivet,Auvilly,Auvilly Land,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,2240,26.04,67.45,441,,,,,,,,https://watabou.github.io/city-generator?name=Mivet&population=2240&size=18&seed=6656582340093&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
94,Rasburg,Wildbad,Wildbad County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,2538,-17.98,126.56,16,,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Rasburg&population=2538&size=18&seed=6656582340094&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.09
95,Neiradapo,Arazam,Arazam Province,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,1709,-22.22,74.57,324,,,,,,,,https://watabou.github.io/city-generator?name=Neiradapo&population=1709&size=16&seed=6656582340095&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
96,Maglia,Riofria,Riofria County,Castricia,Castrician Empire,Tallian,Tallian Gods,18389,9.54,-44.38,100,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Maglia&population=18389&size=39&seed=6656582340096&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
97,Selfach,Freisachia,Freisachia Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,8168,7.53,120.99,64,,,,,,,,https://watabou.github.io/city-generator?name=Selfach&population=8168&size=29&seed=6656582340097&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
98,Hequeteda,Casos,Casos County,Torta,Kingdom of Torta,Astellian,Astellian Spirits,22165,-7.85,-67.82,16,,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator?name=Hequeteda&population=22165&size=42&seed=6656582340098&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
99,Cares,Alhospinha,Alhospinha Province,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,10842,-20.24,64.03,36,,,,walls,,,,https://watabou.github.io/city-generator?name=Cares&population=10842&size=32&seed=6656582340099&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
100,Treton,Retletownia,Retletownia Territory,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,2675,-24.34,-107.29,25,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Treton&population=2675&size=19&seed=6656582340100&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.19
101,Haamengesi,Hapuma,Hapuma County,Torvia,Torvian Empire,Soumi,Soumi Deities,3238,46.09,-38,121,,,citadel,,,,,https://watabou.github.io/city-generator?name=Haamengesi&population=3238&size=20&seed=6656582340101&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
102,Chain,Lerevoy,Lerevoy Region,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,5932,-8.29,62.94,9,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Chain&population=5932&size=25&seed=6656582340102&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.19
103,Anbuse,Anbuse,Anbuse Territory,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,7571,-19.42,-116.8,16,,,,,,,,https://watabou.github.io/city-generator?name=Anbuse&population=7571&size=28&seed=6656582340103&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
104,Vallito,Forlonteja,Forlonteja Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,1568,41.29,-21.63,144,,,,walls,,,,https://watabou.github.io/city-generator?name=Vallito&population=1568&size=15&seed=6656582340104&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
105,Valci,Aleromaria,Aleromaria Barony,Castricia,Castrician Empire,Tallian,Tallian Gods,37093,8.38,-48.87,121,,,,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Valci&population=37093&size=51&seed=6656582340105&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
106,Giuca,Giuca,Giuca Islands,Castricia,Castrician Empire,Tallian,Tallian Gods,2433,5.06,-21.88,16,,port,,,,,,https://watabou.github.io/city-generator?name=Giuca&population=2433&size=18&seed=6656582340106&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.78
107,Malho,Masitiras,Masitiras Earldom,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,1553,-27.41,87.03,64,,,citadel,,,,,https://watabou.github.io/city-generator?name=Malho&population=1553&size=15&seed=6656582340107&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
108,Dodbrore,Klyapech,Klyapech State,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,7587,-39.51,-98.14,225,,,,,plaza,,,https://watabou.github.io/city-generator?name=Dodbrore&population=7587&size=28&seed=6656582340108&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
109,Viohkajaa,Vilta,Vilta Clan,Torvia,Torvian Empire,Soumi,Soumi Deities,7357,49.46,-52.56,25,,port,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Viohkajaa&population=7357&size=28&seed=6656582340109&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.06
110,Maulfach,Eschb,Eschb Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1574,27,101.96,25,,,citadel,,,,,https://watabou.github.io/city-generator?name=Maulfach&population=1574&size=15&seed=6656582340110&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
111,Lauberg,Lofenzeln,Lofenzeln County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,8811,-21.87,107.35,25,,,,,,,,https://watabou.github.io/city-generator?name=Lauberg&population=8811&size=29&seed=6656582340111&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
112,Kehti,Kumara,Kumara Territory,Torvia,Torvian Empire,Soumi,Soumi Deities,1738,41.97,-83.92,169,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Kehti&population=1738&size=16&seed=6656582340112&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
113,Brevilnay,Corceres,Corceres County,Chaus,Grand Duchy of Chaus,Luari,Luari Shamanism,2084,-19.5,31.65,16,,,citadel,,,,,https://watabou.github.io/city-generator?name=Brevilnay&population=2084&size=17&seed=6656582340113&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
114,Herrerayos,Herrerayos,Herrerayos Land,Tanilmia,Duchy of Tanilmia,Astellian,Astellian Spirits,8083,-43.44,-39.61,36,,,,,,,,https://watabou.github.io/city-generator?name=Herrerayos&population=8083&size=29&seed=6656582340114&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
115,Paldis,Tus,Tus County,Torvia,Torvian Empire,Soumi,Soumi Deities,26082,47.7,-62.77,64,,,citadel,walls,,temple,,https://watabou.github.io/city-generator?name=Paldis&population=26082&size=45&seed=6656582340115&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
116,Alhas,Bareitia,Bareitia Shire,Ardon,Kingdom of Ardon,Portuzian,Portuzian Beliefs,1709,16,87.86,49,,,,,plaza,,,https://watabou.github.io/city-generator?name=Alhas&population=1709&size=16&seed=6656582340116&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
117,Thaxted,Fadingham,Fadingham Parish,Chichet,Chichetian Theocracy,Angshire,Angshire Spirits,4901,14.04,-129.78,25,,port,,,plaza,temple,,https://watabou.github.io/city-generator?name=Thaxted&population=4901&size=24&seed=6656582340117&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=1.2
118,Spigliarone,Ventaninia,Ventaninia County,Castricia,Castrician Empire,Tallian,Tallian Gods,34659,5.75,-25.57,36,,port,,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Spigliarone&population=34659&size=50&seed=6656582340118&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.28
119,Gernsheim,Gernsheim,Gernsheim County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,13085,-5.9,112.52,625,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Gernsheim&population=13085&size=34&seed=6656582340119&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
120,Thetford,Calnewent,Calnewent Council,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,1715,-37.75,-98.36,121,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Thetford&population=1715&size=16&seed=6656582340120&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
121,Chetrognia,Pedev,Pedev Deanery,Luzboria,Exarchate of Luzboria,Slovan,Horchecilian Religion,15621,-47.91,-76.94,25,,port,,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Chetrognia&population=15621&size=37&seed=6656582340121&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.61
122,Alttin,Frieier,Frieier Territory,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1645,-2.92,127.51,25,,,citadel,,,,,https://watabou.github.io/city-generator?name=Alttin&population=1645&size=16&seed=6656582340122&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
123,Olheimsey,Ankerka,Ankerka County,Flostia,Principality of Flostia,Norse,Norse Ancestors,5581,43.21,-106.86,36,,port,,walls,,,,https://watabou.github.io/city-generator?name=Olheimsey&population=5581&size=25&seed=6656582340123&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.99
124,Rottwandin,Rottwandin,Rottwandin Territory,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1644,18.5,118.33,16,,,,,,,,https://watabou.github.io/city-generator?name=Rottwandin&population=1644&size=16&seed=6656582340124&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
125,Wusach,Wusach,Wusach Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,13657,-19.98,123.72,16,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Wusach&population=13657&size=35&seed=6656582340125&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=2
126,Draxted,Pilboria,Pilboria State,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,10218,-43.48,-92.05,64,,port,,,,,,https://watabou.github.io/city-generator?name=Draxted&population=10218&size=31&seed=6656582340126&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.99
127,Castelcaro,Ventelia,Ventelia Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,3141,3.8,-45.76,441,,,,,,,,https://watabou.github.io/city-generator?name=Castelcaro&population=3141&size=20&seed=6656582340127&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
128,Ehrsteig,Gernsheim,Gernsheim County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1732,-4.85,113.62,361,,,citadel,,,,,https://watabou.github.io/city-generator?name=Ehrsteig&population=1732&size=16&seed=6656582340128&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
129,Onigsburg,Geisach,Geisach Land,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,4336,33.7,96.81,25,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Onigsburg&population=4336&size=23&seed=6656582340129&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
130,Lontigna,Vaikmaa,Vaikmaa Land,Castricia,Castrician Empire,Tallian,Tallian Gods,6255,33.33,-23.44,441,,,,,plaza,,,https://watabou.github.io/city-generator?name=Lontigna&population=6255&size=26&seed=6656582340130&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
131,Extedgewent,Extedgewent,Extedgewent Parish,Chichet,Chichetian Theocracy,Angshire,Angshire Spirits,9512,24.59,-126.16,16,,,,,,temple,,https://watabou.github.io/city-generator?name=Extedgewent&population=9512&size=30&seed=6656582340131&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
132,Stein,Stein,Stein Margrave,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,11442,-23.06,96.95,16,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Stein&population=11442&size=33&seed=6656582340132&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
133,Aguirolinas,Aguirolinas,Aguirolinas Earldom,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,21096,-33.61,88.93,16,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Aguirolinas&population=21096&size=41&seed=6656582340133&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
